id,time,isRank,winner_name,winner_god_1,winner_god_2,winner_god_ban,winner_deck_code,winner_normal_card_1,winner_normal_card_2,winner_normal_card_3,winner_normal_card_4,winner_normal_card_5,winner_normal_card_6,winner_normal_card_7,winner_special_card_1,winner_special_card_2,winner_special_card_3,loser_name,loser_god_1,loser_god_2,loser_god_ban,loser_deck_code,loser_normal_card_1,loser_normal_card_2,loser_normal_card_3,loser_normal_card_4,loser_normal_card_5,loser_normal_card_6,loser_normal_card_7,loser_special_card_1,loser_special_card_2,loser_special_card_3,loser_isPublic,winner_isPublic
1027,2022-10-12 11:21:14.404614,0,he1fire,08-A1,12-A1,22-O,081AC8121F2A,08-A1-N-2,08-O-N-4,08-O-N-5,12-O-N-1,12-A1-N-2,12-O-N-3,12-A1-N-6,08-A1-S-1,12-O-S-1,12-A1-S-3,S.etA,12-O,06-O,03-A1,120F8A060D24,12-O-N-1,12-O-N-2,12-O-N-3,12-O-N-4,06-O-N-1,06-O-N-3,06-O-N-6,12-O-S-1,12-O-S-3,06-O-S-2,1,1
1028,2022-10-12 11:35:30.033647,0,arcturus907,21-O,05-A1,None,210EC7051E20,21-O-N-1,21-O-N-2,21-O-N-4,21-O-N-5,05-O-N-1,05-A1-N-2,05-O-N-6,21-O-S-2,21-O-S-3,21-O-S-4,DEOST,10-A2,14-O,None,102F23140CA2,10-A2-N-1,10-A2-N-2,10-O-N-3,10-O-N-6,14-O-N-1,14-O-N-4,14-O-N-6,10-O-S-3,10-A2-S-4,14-O-S-3,1,1
1029,2022-10-12 12:21:23.275914,0,DEOST,14-O,10-A2,None,140EA6102F01,14-O-N-1,14-O-N-2,14-O-N-4,14-O-N-6,10-A2-N-1,10-A2-N-2,10-O-N-3,14-O-S-2,14-O-S-3,10-A2-S-4,arcturus907,04-A1,06-O,None,0418A2060F6A,04-O-N-4,04-O-N-6,06-O-N-1,06-O-N-2,06-O-N-3,06-O-N-5,06-O-N-6,04-O-S-3,06-O-S-1,06-O-S-3,1,1
1030,2022-10-12 13:29:32.473008,0,byeoru,17-A1,04-A2,07-A1,171CA3042E98,17-O-N-1,17-A1-N-4,17-O-N-6,04-O-N-1,04-A2-N-2,04-O-N-4,04-O-N-7,17-O-S-3,17-A1-S-4,04-O-S-1,horain,05-O,18-O,16-A1,050D01180B73,05-O-N-1,05-O-N-3,18-O-N-2,18-O-N-3,18-O-N-5,18-O-N-6,18-O-N-7,05-O-S-4,18-O-S-3,18-O-S-4,1,1
1031,2022-10-12 14:02:28.263737,0,horain,18-O,22-O,16-A1,180B78220C29,18-O-N-2,18-O-N-3,18-O-N-5,18-O-N-6,18-O-N-7,22-O-N-1,22-O-N-6,18-O-S-1,22-O-S-1,22-O-S-4,byeoru,05-O,06-O,18-O,050C81060F6C,05-O-N-1,05-O-N-4,06-O-N-1,06-O-N-2,06-O-N-3,06-O-N-5,06-O-N-6,05-O-S-4,06-O-S-1,06-O-S-2,1,1
1032,2022-10-12 14:57:13.137967,1,hibro,02-O,14-O,16-A1,020F16140E24,02-O-N-1,02-O-N-2,02-O-N-3,02-O-N-7,14-O-N-1,14-O-N-2,14-O-N-6,02-O-S-2,02-O-S-3,14-O-S-2,PuniPaw,12-O,05-O,03-O,120B89050E61,12-O-N-2,12-O-N-3,12-O-N-4,05-O-N-1,05-O-N-2,05-O-N-5,05-O-N-6,12-O-S-1,12-O-S-4,05-O-S-4,1,1
1033,2022-10-12 14:59:20.898748,0,...?,09-O,05-O,None,0909DA050A61,09-O-N-3,09-O-N-4,09-O-N-5,09-O-N-7,05-O-N-2,05-O-N-5,05-O-N-6,09-O-S-1,09-O-S-3,05-O-S-4,RIEN,07-O,09-O,None,070D8C090EC8,07-O-N-1,07-O-N-3,07-O-N-4,09-O-N-1,09-O-N-2,09-O-N-4,09-O-N-5,07-O-S-1,07-O-S-2,09-O-S-1,1,1
1034,2022-10-13 07:20:59.448824,1,Hyoue_O,02-A2,01-A1,09-A1,022FB3011821,02-O-N-1,02-A2-N-2,02-O-N-3,02-O-N-4,02-O-N-6,02-A2-N-7,01-A1-N-6,02-A2-S-3,02-O-S-4,01-O-S-4,PuniPaw,12-O,05-O,03-O,120F88050E45,12-O-N-1,12-O-N-2,12-O-N-3,12-O-N-4,05-O-N-1,05-O-N-2,05-O-N-5,12-O-S-1,05-O-S-2,05-O-S-4,1,1
1035,2022-10-13 08:01:56.396406,1,PuniPaw,19-O,01-A2,14-O,190BA9012D18,19-O-N-2,19-O-N-3,19-O-N-4,19-O-N-6,01-O-N-1,01-A2-N-3,01-A2-N-7,19-O-S-1,19-O-S-4,01-A2-S-1,Hyoue_O,01-A2,11-A1,07-O,012D9811187C,01-O-N-1,01-A2-N-3,01-O-N-4,01-A2-N-7,11-A1-N-5,11-O-N-6,11-O-N-7,01-A2-S-1,11-A1-S-1,11-A1-S-2,1,1
1036,2022-10-13 08:17:20.136542,1,PuniPaw,12-A1,09-O,14-O,121AA3090F42,12-A1-N-2,12-O-N-4,12-A1-N-6,09-O-N-1,09-O-N-2,09-O-N-3,09-O-N-5,12-A1-S-3,12-O-S-4,09-O-S-3,Hyoue_O,13-O,02-A1,03-O,130F68021D0C,13-O-N-1,13-O-N-2,13-O-N-3,13-O-N-5,13-O-N-6,02-O-N-1,02-A1-N-3,13-O-S-1,02-O-S-1,02-A1-S-2,1,1
