12,2022-12-31 14:16:27.265643,0,rinperiod,24-O,21-O,14-O,240B45210F22,24-O-N-2,24-O-N-3,24-O-N-5,21-O-N-1,21-O-N-2,21-O-N-3,21-O-N-6,24-O-S-2,24-O-S-4,21-O-S-3,narodng1,10-O,15-O,22-O,100D3A150D42,10-O-N-1,10-O-N-3,10-O-N-6,10-O-N-7,15-O-N-1,15-O-N-3,15-O-N-5,10-O-S-1,10-O-S-3,15-O-S-3,1,1
13,2022-12-31 14:43:08.572256,0,르에,02-A2,09-A1,None,022FFB091800,02-O-N-1,02-A2-N-2,02-O-N-3,02-O-N-4,02-O-N-5,02-O-N-6,02-A2-N-7,02-O-S-1,02-A2-S-3,02-O-S-4,Kirian,19-O,03-A1,None,190B49031DC2,19-O-N-2,19-O-N-3,19-O-N-5,03-O-N-1,03-O-N-3,03-O-N-4,03-A1-N-5,19-O-S-1,19-O-S-4,03-O-S-3,1,1
14,2022-12-31 14:48:38.423050,0,rinperiod,24-O,06-O,14-O,240F45060D24,24-O-N-1,24-O-N-2,24-O-N-3,24-O-N-5,06-O-N-1,06-O-N-3,06-O-N-6,24-O-S-2,24-O-S-4,06-O-S-2,narodng1,04-O,10-O,20-O,040E92100D2A,04-O-N-1,04-O-N-2,04-O-N-4,04-O-N-7,10-O-N-1,10-O-N-3,10-O-N-6,04-O-S-3,10-O-S-1,10-O-S-3,1,1
15,2022-12-31 14:54:25.569920,0,lks1839,09-O,24-O,None,090A9A240B64,09-O-N-2,09-O-N-4,09-O-N-7,24-O-N-2,24-O-N-3,24-O-N-5,24-O-N-6,09-O-S-1,09-O-S-3,24-O-S-2,잼빵잼,17-A1,15-O,None,1719DB150C30,17-O-N-3,17-A1-N-4,17-O-N-5,17-O-N-7,15-O-N-1,15-O-N-6,15-O-N-7,17-A1-S-1,17-O-S-3,17-A1-S-4,1,1
16,2022-12-31 15:01:07.988319,0,Serenity17,02-O,14-O,03-O,020F26140E24,02-O-N-1,02-O-N-2,02-O-N-3,02-O-N-6,14-O-N-1,14-O-N-2,14-O-N-6,02-O-S-2,02-O-S-3,14-O-S-2,0xrgb,02-O,06-O,20-O,020E4A060DA4,02-O-N-1,02-O-N-2,02-O-N-5,06-O-N-1,06-O-N-3,06-O-N-4,06-O-N-6,02-O-S-1,02-O-S-3,06-O-S-2,1,1
17,2022-12-31 15:05:45.803405,0,rinperiod,06-O,24-O,16-A1,060D84240F45,06-O-N-1,06-O-N-3,06-O-N-4,24-O-N-1,24-O-N-2,24-O-N-3,24-O-N-5,06-O-S-2,24-O-S-2,24-O-S-4,narodng1,22-O,10-O,14-O,220D381008D5,22-O-N-1,22-O-N-3,22-O-N-6,22-O-N-7,10-O-N-4,10-O-N-5,10-O-N-7,22-O-S-1,10-O-S-2,10-O-S-4,1,1
18,2022-12-31 16:01:08.776385,0,Muffan,15-O,03-O,None,1508B2030F45,15-O-N-4,15-O-N-6,15-O-N-7,03-O-N-1,03-O-N-2,03-O-N-3,03-O-N-5,15-O-S-3,03-O-S-2,03-O-S-4,rinperiod,16-AA1,09-O,None,162F98090A4A,16-O-N-1,16-O-N-2,16-O-N-3,16-O-N-4,16-AA1-N-7,09-O-N-2,09-O-N-5,16-AA1-S-4,09-O-S-1,09-O-S-3,1,1
19,2022-12-31 16:20:43.501813,0,lks1839,24-O,14-O,None,240B44140DCA,24-O-N-2,24-O-N-3,24-O-N-5,14-O-N-1,14-O-N-3,14-O-N-4,14-O-N-5,24-O-S-2,14-O-S-1,14-O-S-3,lemonby,20-O,18-O,None,200EAC180968,20-O-N-1,20-O-N-2,20-O-N-4,20-O-N-6,18-O-N-3,18-O-N-5,18-O-N-6,20-O-S-1,20-O-S-2,18-O-S-1,1,1
20,2022-12-31 16:41:07.549014,0,rinperiod,24-O,16-A1,14-O,240B45161F18,24-O-N-2,24-O-N-3,24-O-N-5,16-O-N-1,16-O-N-2,16-O-N-3,16-O-N-7,24-O-S-2,24-O-S-4,16-A1-S-4,Muffan,15-O,02-A1,03-O,150952021E6A,15-O-N-3,15-O-N-5,15-O-N-7,02-O-N-1,02-O-N-2,02-O-N-5,02-A1-N-6,15-O-S-3,02-O-S-1,02-O-S-3,1,1
21,2022-12-31 16:58:50.156500,1,woodo,24-O,05-O,09-O,240DDE050C40,24-O-N-1,24-O-N-3,24-O-N-4,24-O-N-5,24-O-N-7,05-O-N-1,05-O-N-5,24-O-S-1,24-O-S-2,24-O-S-3,hibro,02-A1,17-O,03-O,021B44170F16,02-O-N-2,02-A1-N-3,02-O-N-5,17-O-N-1,17-O-N-2,17-O-N-3,17-O-N-7,02-A1-S-2,17-O-S-2,17-O-S-3,1,1
22,2022-12-31 17:17:11.225409,0,Kirian,03-A1,02-A2,None,031E6D022D10,03-O-N-1,03-A1-N-2,03-A1-N-5,03-O-N-6,02-O-N-1,02-O-N-3,02-A2-N-7,03-O-S-1,03-A1-S-2,03-O-S-4,듀나,21-O,01-O,None,210F64010E0C,21-O-N-1,21-O-N-2,21-O-N-3,21-O-N-5,21-O-N-6,01-O-N-1,01-O-N-2,21-O-S-2,01-O-S-1,01-O-S-2,1,1
